CODE_CLIENT;Raison;Statut marital;Titre;Titre CoEmp;Garantie;Assurance;Logement;Type logement;Profession;Enfants;Ancienneté bancaire;Salaire;Salaire CoEmp;Nb Pers;Revenu / tête;Loyer;Âge;Emprunts courants;Durée emprunt;Remboursement;Succès
227;TV;Célibataire;Mlle;Aucun;Non;Non;Famille;Appartement;Cadre;0;4;8211;0;1;8211;;30;1067;4;Normal;N
282;TV;Célibataire;Mlle;Aucun;Non;Non;Famille;Appartement;Cadre;0;4;7965;0;1;7965;;31;979;4;Normal;N
711;TV;Célibataire;Mlle;Aucun;Non;Non;Famille;Appartement;Cadre;0;4;7894;0;1;7894;;28;1024;4;Normal;N
873;TV;Célibataire;Mlle;Aucun;Non;Non;Famille;Appartement;Cadre;0;4;8649;0;1;8649;;30;979;3;Normal;N
1729;TV;Célibataire;Mlle;Aucun;Non;Non;Famille;Appartement;Cadre;0;4;8757;0;1;8757;;33;1024;4;Normal;N
29;TV;Séparé;Mme;Aucun;Non;Oui;Famille;Appartement;Cadre;0;12;8160;0;1;8160;;46;0;4;Normal;O
682;TV;Séparé;Mme;Aucun;Non;Oui;Famille;Appartement;Cadre;0;11;7523;0;1;7523;;42;0;3;Normal;O
751;TV;Séparé;Mme;Aucun;Non;Oui;Famille;Appartement;Cadre;0;12;7674;0;1;7674;;49;0;3;Normal;O
1257;TV;Séparé;Mme;Aucun;Non;Oui;Famille;Appartement;Cadre;0;13;8654;0;1;8654;;47;0;4;Normal;O
1867;TV;Séparé;Mme;Aucun;Non;Oui;Famille;Appartement;Cadre;0;12;7552;0;1;7552;;48;0;4;Normal;O
1867;TV;Séparé;Mme;Aucun;Non;Oui;Famille;Appartement;Cadre;0;12;7552;0;1;7552;;48;0;4;Normal;O
3;Courrier;Divorcé;Mme;Aucun;Non;Oui;Famille;Appartement;Employé;1;11;10247;0;2;5123;;32;0;2;Lent;O
76;Courrier;Divorcé;Mme;Aucun;Non;Oui;Famille;Appartement;Employé;0;10;9504;0;1;9504;;31;0;3;Rapide;O
692;Courrier;Divorcé;Mme;Aucun;Non;Oui;Famille;Appartement;Employé;0;10;10197;0;1;10197;;32;0;3;Rapide;O
764;Courrier;Divorcé;Mme;Aucun;Non;Oui;Famille;Appartement;Employé;0;11;10422;0;1;10422;;31;0;3;Rapide;O
1739;Courrier;Divorcé;Mme;Aucun;Non;Oui;Famille;Appartement;Employé;0;10;10204;0;1;10204;;34;0;3;Rapide;O
114;TV;Célibataire;Mlle;Aucun;Non;Non;Famille;Appartement;Employé de bureau;0;3;6000;0;1;6000;;24;0;4;Normal;N
162;TV;Célibataire;Mlle;Aucun;Non;Non;Famille;Appartement;Employé de bureau;1;3;6047;0;2;3023;;22;0;2;Lent;N
569;TV;Célibataire;Mlle;Aucun;Non;Non;Famille;Appartement;Employé de bureau;0;3;5778;0;1;5778;;22;0;4;Normal;N
1200;TV;Célibataire;Mlle;Aucun;Non;Non;Famille;Appartement;Employé de bureau;0;3;6495;0;1;6495;;23;0;4;Normal;N
1642;TV;Célibataire;Mlle;Aucun;Non;Non;Famille;Appartement;Employé de bureau;0;3;5831;0;1;5831;;22;0;3;Normal;N
97;Autre;Divorcé;Mme;Aucun;Non;Non;Famille;Appartement;Enseignant;0;16;13994;0;1;13994;;46;456;4;Normal;N
166;Autre;Divorcé;Mme;Aucun;Non;Non;Famille;Appartement;Enseignant;0;15;12869;0;1;12869;;50;516;4;Normal;N
1154;Autre;Divorcé;Mme;Aucun;Non;Non;Famille;Appartement;Enseignant;0;14;12869;0;1;12869;;45;474;4;Normal;N
1548;Autre;Divorcé;Mme;Aucun;Non;Non;Famille;Appartement;Enseignant;0;15;13344;0;1;13344;;46;496;4;Normal;N
1751;Autre;Divorcé;Mme;Aucun;Non;Non;Famille;Appartement;Enseignant;0;14;13423;0;1;13423;;46;484;4;Normal;N
92;Autre;Divorcé;M.;Aucun;Non;Oui;Famille;Appartement;Ouvrier;0;12;8547;0;1;8547;;29;402;3;Normal;N
176;TV;Marié;Mme;M.;Oui;Non;Famille;Appartement;Ouvrier;3;5;7059;8820;5;3175;796;39;934;4;Normal;N
195;TV;Divorcé;M.;Aucun;Non;Oui;Famille;Appartement;Ouvrier;0;7;6393;0;1;6393;;37;1214;4;Normal;N
242;Autre;Marié;M.;Mme;Oui;Non;Famille;Appartement;Ouvrier;0;16;6359;4481;2;5420;;32;0;4;Normal;N
331;Autre;Marié;M.;Mme;Oui;Non;Famille;Appartement;Ouvrier;0;15;5942;4900;2;5421;;31;0;4;Normal;N
343;Courrier;Célibataire;Mlle;Aucun;Non;Oui;Famille;Appartement;Ouvrier;0;0;10080;0;1;10080;;25;0;3;Rapide;N
356;Autre;Divorcé;M.;Aucun;Non;Oui;Famille;Appartement;Ouvrier;0;14;8066;0;1;8066;;33;362;4;Normal;N
415;Courrier;Célibataire;Mlle;Aucun;Non;Oui;Famille;Appartement;Ouvrier;1;0;10623;0;2;5311;;24;0;2;Lent;N
533;Autre;Marié;M.;Mme;Oui;Non;Famille;Appartement;Ouvrier;0;14;6189;4701;2;5445;;33;0;4;Normal;N
540;Courrier;Célibataire;Mlle;Aucun;Non;Oui;Famille;Appartement;Ouvrier;0;0;9349;0;1;9349;;27;0;3;Rapide;N
565;Courrier;Célibataire;Mlle;Aucun;Non;Oui;Famille;Appartement;Ouvrier;0;0;9496;0;1;9496;;24;0;3;Rapide;N
577;Autre;Divorcé;M.;Aucun;Non;Oui;Famille;Appartement;Ouvrier;0;13;8203;0;1;8203;;31;372;4;Normal;N
598;TV;Divorcé;M.;Aucun;Non;Oui;Famille;Appartement;Ouvrier;0;6;6720;0;1;6720;;40;1240;4;Normal;N
799;TV;Divorcé;M.;Aucun;Non;Oui;Famille;Appartement;Ouvrier;0;6;6976;0;1;6976;;36;1283;3;Normal;N
849;Autre;Divorcé;M.;Aucun;Non;Oui;Famille;Appartement;Ouvrier;0;12;8153;0;1;8153;;30;368;3;Normal;N
911;TV;Marié;Mme;M.;Oui;Non;Famille;Appartement;Ouvrier;3;5;6330;8605;5;2987;853;33;893;4;Normal;N
1097;TV;Marié;Mme;M.;Oui;Non;Famille;Appartement;Ouvrier;3;5;6018;9647;5;3133;958;37;921;4;Normal;N
1179;TV;Divorcé;M.;Aucun;Non;Oui;Famille;Appartement;Ouvrier;0;6;6907;0;1;6907;;44;1266;4;Normal;N
1245;TV;Divorcé;M.;Aucun;Non;Oui;Famille;Appartement;Ouvrier;1;6;7218;0;2;3609;;37;1309;2;Lent;N
1441;Autre;Marié;M.;Mme;Oui;Non;Famille;Appartement;Ouvrier;0;16;5652;5349;2;5500;;30;0;4;Normal;N
1544;TV;Marié;Mme;M.;Oui;Non;Famille;Appartement;Ouvrier;3;5;6508;8793;5;3060;88;37;868;3;Normal;N
1666;Autre;Marié;M.;Mme;Oui;Non;Famille;Appartement;Ouvrier;0;16;5851;4623;2;5237;;32;0;4;Normal;N
1711;Courrier;Célibataire;Mlle;Aucun;Non;Oui;Famille;Appartement;Ouvrier;0;0;10478;0;1;10478;;23;0;3;Rapide;N
1811;TV;Marié;Mme;M.;Oui;Non;Famille;Appartement;Ouvrier;3;5;6208;9501;5;3141;97;34;867;4;Normal;N
1824;Autre;Divorcé;M.;Aucun;Non;Oui;Famille;Appartement;Ouvrier;1;12;7595;0;2;3797;;33;402;2;Lent;N
317;Autre;Marié;Mme;M.;Oui;Oui;Famille;Appartement;Ouvrier qualifié;0;24;9541;15067;2;12304;;53;2023;4;Normal;N
627;Autre;Marié;Mme;M.;Oui;Oui;Famille;Appartement;Ouvrier qualifié;0;23;9558;14840;2;12199;;47;2233;3;Normal;N
1103;Autre;Marié;Mme;M.;Oui;Oui;Famille;Appartement;Ouvrier qualifié;0;22;8643;14203;2;11423;;54;2139;4;Normal;N
1121;Autre;Marié;Mme;M.;Oui;Oui;Famille;Appartement;Ouvrier qualifié;0;25;8672;14481;2;11576;;52;1977;4;Normal;N
1721;Autre;Marié;Mme;M.;Oui;Oui;Famille;Appartement;Ouvrier qualifié;0;23;9600;14750;2;12175;;50;2061;4;Normal;N
69;TV;Célibataire;Mlle;Aucun;Non;Oui;Famille;Appartement;Représentant;0;2;9600;0;1;9600;;27;496;4;Normal;N
210;TV;Marié;M.;M.;Oui;Oui;Famille;Appartement;Représentant;1;0;8093;8390;3;5494;;52;2313;4;Normal;N
237;TV;Marié;M.;M.;Oui;Oui;Famille;Appartement;Représentant;1;0;7820;7869;3;5229;;52;2666;4;Normal;N
289;TV;Célibataire;Mlle;Aucun;Non;Oui;Famille;Appartement;Représentant;0;2;9334;0;1;9334;;27;487;4;Normal;N
336;TV;Célibataire;Mlle;Aucun;Non;Oui;Famille;Appartement;Représentant;0;2;9725;0;1;9725;;25;530;4;Normal;N
549;TV;Marié;M.;M.;Oui;Oui;Famille;Appartement;Représentant;1;0;9126;7574;3;5566;;53;2259;4;Normal;N
791;TV;Célibataire;Mlle;Aucun;Non;Oui;Famille;Appartement;Représentant;0;2;10091;0;1;10091;;27;461;4;Normal;N
1111;TV;Célibataire;Mlle;Aucun;Non;Oui;Famille;Appartement;Représentant;0;2;9467;0;1;9467;;28;498;4;Normal;N
1198;TV;Marié;M.;M.;Oui;Oui;Famille;Appartement;Représentant;1;0;8323;7519;3;5280;;52;2524;4;Normal;N
1244;TV;Marié;M.;M.;Oui;Oui;Famille;Appartement;Représentant;1;0;8640;7992;3;5544;;49;2480;4;Normal;N
103;Courrier;Marié;Mme;M.;Oui;Oui;Famille;Appartement;Retraité;0;20;4469;3733;2;4101;;61;476;4;Normal;N
141;TV;Marié;Mme;M.;Oui;Non;Famille;Appartement;Retraité;0;41;5102;6768;2;5935;829;64;1679;4;Normal;N
265;Autre;Célibataire;Mme;Aucun;Non;Non;Famille;Appartement;Retraité;1;22;7322;0;2;3661;;48;395;3;Rapide;N
278;TV;Marié;Mme;M.;Oui;Non;Famille;Appartement;Retraité;0;43;5330;6012;2;5671;821;67;1751;4;Normal;N
640;Courrier;Marié;Mme;M.;Oui;Oui;Famille;Appartement;Retraité;0;21;4627;3734;2;4180;;65;527;4;Normal;N
641;Autre;Célibataire;Mme;Aucun;Non;Non;Famille;Appartement;Retraité;1;24;7566;0;2;3783;;46;337;3;Rapide;N
866;Autre;Célibataire;Mme;Aucun;Non;Non;Famille;Appartement;Retraité;1;24;7763;0;2;3881;;48;397;3;Rapide;N
920;Autre;Célibataire;Mme;Aucun;Non;Non;Famille;Appartement;Retraité;1;22;6722;0;2;3361;;45;369;3;Rapide;N
1077;TV;Marié;Mme;M.;Oui;Non;Famille;Appartement;Retraité;0;40;5472;6633;2;6052;88;66;1798;4;Normal;N
1193;Courrier;Marié;Mme;M.;Oui;Oui;Famille;Appartement;Retraité;0;20;4605;3791;2;4198;;65;542;4;Normal;N
1213;TV;Marié;Mme;M.;Oui;Non;Famille;Appartement;Retraité;0;40;5414;6952;2;6183;84;60;1628;4;Normal;N
1396;Courrier;Marié;Mme;M.;Oui;Oui;Famille;Appartement;Retraité;0;22;4435;3826;2;4130;;63;556;4;Normal;N
1600;Autre;Célibataire;Mme;Aucun;Non;Non;Famille;Appartement;Retraité;1;24;7248;0;2;3624;;44;372;3;Rapide;N
1722;TV;Marié;Mme;M.;Oui;Non;Famille;Appartement;Retraité;0;43;5741;7267;2;6504;876;72;1660;4;Normal;N
1782;Courrier;Marié;Mme;M.;Oui;Oui;Famille;Appartement;Retraité;0;20;4957;3704;2;4330;;68;509;4;Normal;N
118;TV;Marié;Mme;M.;Oui;Non;Famille;Maison;Chômeur;1;13;0;0;3;0;;47;0;4;Normal;N
347;TV;Marié;Mme;M.;Oui;Non;Famille;Maison;Chômeur;1;13;0;0;3;0;;47;0;4;Normal;N
1093;TV;Marié;Mme;M.;Oui;Non;Famille;Maison;Chômeur;1;13;0;0;3;0;;51;0;4;Normal;N
1377;TV;Marié;Mme;M.;Oui;Non;Famille;Maison;Chômeur;0;12;0;0;2;0;;48;0;4;Normal;N
1709;TV;Marié;Mme;M.;Oui;Non;Famille;Maison;Chômeur;1;12;0;0;3;0;;46;0;4;Normal;N
1;TV;Célibataire;Mme;M.;Oui;Non;Famille;Maison;Chômeur;2;10;0;0;4;0;;40;915;4;Normal;O
321;TV;Célibataire;Mme;M.;Oui;Non;Famille;Maison;Chômeur;3;10;0;0;5;0;;38;939;4;Normal;O
912;TV;Célibataire;Mme;M.;Oui;Non;Famille;Maison;Chômeur;3;9;0;0;5;0;;39;1029;4;Normal;O
1155;TV;Célibataire;Mme;M.;Oui;Non;Famille;Maison;Chômeur;3;9;0;0;5;0;;40;1025;4;Normal;O
1373;TV;Célibataire;Mme;M.;Oui;Non;Famille;Maison;Chômeur;3;10;0;0;5;0;;42;948;4;Normal;O
107;TV;Marié;Mme;M.;Oui;Non;Famille;Maison;Employé;2;15;7899;8086;4;3996;;47;1019;4;Normal;N
665;TV;Marié;Mme;M.;Oui;Non;Famille;Maison;Employé;2;15;8376;7934;4;4077;;44;1013;4;Normal;N
