CODE_CLIENT;Raison;Statut marital;Titre;Titre CoEmp;Garantie;Assurance;Logement;Type logement;Profession;Enfants;Ancienneté bancaire;Salaire;Salaire CoEmp;Nb Pers;Revenu / tête;Loyer;Âge;Emprunts courants;Durée emprunt;Remboursement;Succès
227;2;1;1;0;0;0;0;0;0;0;4;8211;0;1;8211;;30;1067;4;1;0
282;2;1;1;0;0;0;0;0;0;0;4;7965;0;1;7965;;31;979;4;1;0
711;2;1;1;0;0;0;0;0;0;0;4;7894;0;1;7894;;28;1024;4;1;0
873;2;1;1;0;0;0;0;0;0;0;4;8649;0;1;8649;;30;979;3;1;0
1729;2;1;1;0;0;0;0;0;0;0;4;8757;0;1;8757;;33;1024;4;1;0
29;2;4;2;0;0;1;0;0;0;0;12;8160;0;1;8160;;46;0;4;1;1
682;2;4;2;0;0;1;0;0;0;0;11;7523;0;1;7523;;42;0;3;1;1
751;2;4;2;0;0;1;0;0;0;0;12;7674;0;1;7674;;49;0;3;1;1
1257;2;4;2;0;0;1;0;0;0;0;13;8654;0;1;8654;;47;0;4;1;1
1867;2;4;2;0;0;1;0;0;0;0;12;7552;0;1;7552;;48;0;4;1;1
1867;2;4;2;0;0;1;0;0;0;0;12;7552;0;1;7552;;48;0;4;1;1
3;1;2;2;0;0;1;0;0;2;1;11;10247;0;2;5123;;32;0;2;0;1
76;1;2;2;0;0;1;0;0;2;0;10;9504;0;1;9504;;31;0;3;2;1
692;1;2;2;0;0;1;0;0;2;0;10;10197;0;1;10197;;32;0;3;2;1
764;1;2;2;0;0;1;0;0;2;0;11;10422;0;1;10422;;31;0;3;2;1
1739;1;2;2;0;0;1;0;0;2;0;10;10204;0;1;10204;;34;0;3;2;1
114;2;1;1;0;0;0;0;0;3;0;3;6000;0;1;6000;;24;0;4;1;0
162;2;1;1;0;0;0;0;0;3;1;3;6047;0;2;3023;;22;0;2;0;0
569;2;1;1;0;0;0;0;0;3;0;3;5778;0;1;5778;;22;0;4;1;0
1200;2;1;1;0;0;0;0;0;3;0;3;6495;0;1;6495;;23;0;4;1;0
1642;2;1;1;0;0;0;0;0;3;0;3;5831;0;1;5831;;22;0;3;1;0
97;0;2;2;0;0;0;0;0;4;0;16;13994;0;1;13994;;46;456;4;1;0
166;0;2;2;0;0;0;0;0;4;0;15;12869;0;1;12869;;50;516;4;1;0
1154;0;2;2;0;0;0;0;0;4;0;14;12869;0;1;12869;;45;474;4;1;0
1548;0;2;2;0;0;0;0;0;4;0;15;13344;0;1;13344;;46;496;4;1;0
1751;0;2;2;0;0;0;0;0;4;0;14;13423;0;1;13423;;46;484;4;1;0
92;0;2;0;0;0;1;0;0;6;0;12;8547;0;1;8547;;29;402;3;1;0
176;2;3;2;1;1;0;0;0;6;3;5;7059;8820;5;3175;796;39;934;4;1;0
195;2;2;0;0;0;1;0;0;6;0;7;6393;0;1;6393;;37;1214;4;1;0
242;0;3;0;3;1;0;0;0;6;0;16;6359;4481;2;5420;;32;0;4;1;0
331;0;3;0;3;1;0;0;0;6;0;15;5942;4900;2;5421;;31;0;4;1;0
343;1;1;1;0;0;1;0;0;6;0;0;10080;0;1;10080;;25;0;3;2;0
356;0;2;0;0;0;1;0;0;6;0;14;8066;0;1;8066;;33;362;4;1;0
415;1;1;1;0;0;1;0;0;6;1;0;10623;0;2;5311;;24;0;2;0;0
533;0;3;0;3;1;0;0;0;6;0;14;6189;4701;2;5445;;33;0;4;1;0
540;1;1;1;0;0;1;0;0;6;0;0;9349;0;1;9349;;27;0;3;2;0
565;1;1;1;0;0;1;0;0;6;0;0;9496;0;1;9496;;24;0;3;2;0
577;0;2;0;0;0;1;0;0;6;0;13;8203;0;1;8203;;31;372;4;1;0
